company_ref,account_name
f9a70348-c018-4fdc-95b0-2c58d1804f94,155 ST OMER
3364dce1-934e-430e-b6ff-56eb4e5e5783,156 VESOUL
f0eb9f06-7499-49ee-b054-83717b530ffa,157 BORDEAUX STE EULALIE
bdd2d27f-fb42-4a4a-8ab2-1c2e6749adce,158 BUCHELAY
389357bd-d3a9-469f-9c0b-0fa6797bb129,159 EVRY 2
5edcc52d-7c62-47e1-bb30-6d0c4a82bb51,160 LYON PART DIEU
60431fb9-2b83-429a-9a77-6e847b9457bd,161 COMPIEGNE VENETTE
3af985f8-f0a1-4512-b5fa-8853aadef0f9,162 CHERBOURG
5637f7ff-4122-4536-9a59-f6f78961723d,163 MARSEILLE LA VALENTINE
ea7c2a34-e58b-4f2d-b48c-08e18b1fdcfe,164 ST ETIENNE STEEL
e62d6757-5ca0-4145-bdc2-94744ac93e96,165 ALES
969ff0fd-c907-4dd0-bf51-34b241518140,166 MOULINS
d5bbf883-51d6-4a2b-b8f8-8f8695da0a1b,167 CLAYE SOUILLY
41091d5e-820b-4632-91d3-f5aa91f899de,168 STRASBOURG VENDENHEIM
c3154a05-618d-48e4-a16e-0fcb6fa13cbb,169 CLUSES SCIONZIER
4df32f10-b846-4d84-8d8b-6f666eee5204,170 BAILLEUL
81d44f7f-4cce-45e1-8fab-45faad901844,173 MONT DE MARSAN
f74e77a2-d2d7-4396-a9dd-46fb3f2ad59b,174 TOURS ST PIERRE
c5517adb-71b6-4d55-a541-5155478bdb78,175 PARIS CHATILLON
36df4429-504c-43e0-8117-9c096f9d806f,176 VALENCIENNES RAISMES
75298f5c-d644-4c0e-8aab-c6cd9a6ccb1a,177 MONTEREAU
c1e6d0f8-9c40-42aa-8904-a49142df5037,178 ST BRIEUC
5a8adf70-7dac-4c7d-b8c8-b1896b37d94e,179 COGNAC
dffec0b2-d356-48c2-88f5-5da7dc2f4b97,180 FREJUS
8ea26369-3c89-47cf-8628-e9874a0a9faa,181 PARIS BNF
dc7144c5-9cab-4155-9c7f-113ceb5196fc,182 CALAIS
d944eaf7-2ae4-4f2e-bec7-408755953bb4,183 MONTARGIS
2d2a573a-8502-4b28-aeb7-f1b23481c2ac,184 NICE NOTRE DAME
0fbcae74-2fd2-4916-b3dd-ed11fa0b5b09,186 L ISLE D ABEAU
7ddac4af-c713-4783-988c-f9bfd099e5e4,188 CARCASSONNE
96ce3f51-300c-46e1-b341-b6d214633999,201 PERSAN
589d0f6f-15f1-4fd2-84fb-1ab95c99be22,202 VILLEFRANCHE SUR SAONE
4e5c9070-5643-4692-94b3-c6fc9031e771,203 BLOIS
8d54f820-490c-46ba-b725-c20f4678f140,204 CHALONS EN CHAMPAGNE
91506f05-3d8b-4fb8-a3d0-c37576ece8a5,205 LES SABLES D OLONNE
31d2c705-6d77-4679-9881-6d142edb698d,206 AIX EN PROVENCE LA PIOLINE
9f7ca498-38c2-4172-bc01-992e38651e3f,207 CHARLEVILLE MEZIERES
af32b68d-f19b-45f3-bba9-2e635cddc728,208 SENS
82bed917-6052-4994-8c9f-5db74fdd2608,209 ORLEANS OLIVET
6af0a245-8cd6-471e-90ad-84129d6bfab9,210 GIVET
687c57a6-2d54-4f78-9f95-e02aad2fea19,216 BELFORT BESSONCOURT
f529700a-fdbc-4db9-9f4b-1a0f99d248bf,217 ANNEMASSE
c1e27c31-c221-43c2-b4d1-7387f0547806,219 CAMBRAI
9c7f9cc4-15c5-45a7-91c2-aac5a0742f50,221 HAGUENAU
55eaec92-d732-424e-9643-d3a6d1fd8208,224 BERCK
c382a84e-88bd-47d5-ab83-b143d67e1409,228 AEROVILLE
2557816f-658c-4889-a242-a1446d5f75e9,229 STRASBOURG LES HALLES
ec259237-3251-402a-b528-4ab058ea1df9,230 NANTES REZE
0724e996-4b55-4e2d-b561-3413b82eae95,232 SALAISE SUR SANNE
e88e7704-ab7a-4dd2-abb6-cdde64a6438d,233 VILLENEUVE D ASCQ
487be30f-3a63-476b-bafa-a4dfb826633d,234 ST DIZIER
c1df0459-9f36-4112-8ae7-6459b6825b8c,235 DUNKERQUE GRAND SYNTHE
7892a43b-820d-4503-a401-4e70c106c59f,238 ST MAXIMIN LA STE BAUME
a4ecbf8c-3381-48a1-b7b8-979281babe24,231 COLMAR
b5b3e08c-2368-4c20-af5f-b6c9e7e5e769,211 BRUXELLES CITY2
28d12a9d-c46e-4f7b-bf53-f2b8667f1af0,220 WAREMME
64788b7f-df26-4213-b250-fa43c2267372,222 FROYENNES
840ab0e8-1ca8-42d9-bbd6-12d4d2751cf7,225 ARLON
e8aa654f-05fa-4387-b3f4-bd0adb2174fc,226 LIEGE ROCOURT
4ab84863-a809-42b5-b1fe-d482d840fade,227 CHARLEROI CITY NORD
